Area;Item;Yield
Denmark;Beer;224
Denmark;Spirit;81
Denmark;Wine;278
Switzerland;Beer;185
Switzerland;Spirit;100
Switzerland;Wine;280
Iceland;Beer;233
Iceland;Spirit;61
Iceland;Wine;78
Norway;Beer;169
Norway;Spirit;71
Norway;Wine;129
Finland;Beer;263
Finland;Spirit;133
Finland;Wine;97
Canada;Beer;240
Canada;Spirit;122
Canada;Wine;100
Netherlands;Beer;251
Netherlands;Spirit;88
Netherlands;Wine;190
New Zealand;Beer;203
New Zealand;Spirit;79
New Zealand;Wine;175
Australia;Beer;261
Australia;Spirit;72
Australia;Wine;212
Swaden;Beer;152
Swaden;Spirit;60
Swaden;Wine;186
